éûä‘ë—,ëÿç›éûä‘,çwì¸ã‡äz
íã,1091.8,341
í©,812.22,248
íã,1113.5,117
íã,681.94,199
íã,1060.73,220
í©,79.68,1099
íã,474.74,2366
íã,1053.19,195
î”,209.53,925
íã,1126.62,2853
î”,106.65,1355
î”,1083.73,2733
íã,1022.53,1348
î”,851.11,4830
íã,700.96,3849
î”,1145.08,659
î”,362.07,1450
î”,38.24,2781
íã,314.71,642
íã,989.42,4848
íã,49.81,3712
î”,289.96,1381
íã,380.59,3191
íã,813.88,662
î”,252.53,1370
íã,1018.13,200
íã,1245.83,334
î”,904.34,1137
íã,183.19,2135
î”,1145.9,765
î”,818.04,861
í©,573.13,459
íã,730.27,375
íã,867.32,3091
í©,450.19,2376
í©,865.78,934
íã,1198.92,2299
î”,214.3,1391
í©,79.24,3399
íã,777.58,436
î”,643.79,2967
î”,624.55,2219
íã,1020.99,433
íã,741.89,2829
íã,759.94,1124
î”,519.54,248
íã,1043.32,976
î”,426.68,1841
íã,820.22,229
íã,412.78,111
íã,554.92,1747
íã,536.67,380
î”,431.27,1996
î”,136.48,3315
íã,290.57,3693
î”,925.73,29
íã,894.87,1154
íã,750.27,4170
í©,1192.39,822
íã,1190.45,808
î”,1089.4,98
í©,356.04,974
î”,1035.11,4279
íã,462.37,246
î”,233.78,2159
í©,494.07,374
î”,107.84,669
î”,909.64,1188
î”,151.19,260
í©,387.69,3427
î”,366.36,1811
íã,853.75,4435
í©,812.14,1378
í©,953.2,661
î”,490.84,1718
î”,844.67,240
î”,653.42,2408
î”,198.76,372
í©,537.87,134
íã,297.86,192
î”,381.15,83
í©,999.91,514
íã,400.81,871
íã,1183.75,3071
î”,287.75,2618
íã,1036.85,173
í©,586.76,2010
íã,378.84,4112
î”,495.96,2672
íã,756.34,419
î”,609.27,369
î”,761.73,497
íã,380.27,1416
íã,359.56,3642
í©,543,1200
í©,397.28,2223
î”,1003.61,57
î”,1073.89,940
í©,373.89,891
íã,1511.02,601
íã,826.4,2959
íã,1044.88,2161
î”,422.39,691
î”,181.15,2271
î”,194.98,785
í©,336.41,1718
í©,965.77,4201
í©,815.78,1692
î”,464.46,1022
î”,321.19,276
í©,212.73,2125
íã,1524,361
î”,911.76,3228
íã,1126.34,364
î”,211.4,434
íã,962.16,891
íã,858.6,183
î”,955.61,445
í©,1755.85,112
î”,519.11,757
í©,1095.03,342
î”,388.49,2356
î”,972.43,98
î”,496.01,2478
íã,440.32,2379
í©,189.72,473
í©,1014.44,4393
íã,863.99,4052
íã,1167.41,5081
íã,1108.06,85
í©,916.6,4259
î”,124.1,1060
î”,541.73,157
í©,376.86,69
î”,791.37,664
íã,613.24,4007
íã,279.28,104
î”,493.91,744
íã,1171.17,69
î”,625.85,2224
î”,389.84,852
î”,1068.56,392
íã,632.73,1701
íã,1098.93,511
íã,249.64,270
î”,1000.83,178
íã,711.26,4165
íã,566,299
íã,545.07,4562
í©,352.98,1293
î”,559.78,1856
íã,634.13,2139
î”,704.33,147
íã,1127.29,280
í©,231.82,3522
íã,1115.22,4220
íã,184.48,121
î”,335.19,3666
íã,822.66,1587
î”,771.52,151
í©,300.48,402
íã,309.32,558
î”,376.93,1382
î”,393.25,622
î”,802.19,47
î”,163.24,3878
íã,746.63,746
î”,875.91,1457
î”,42.45,2258
íã,1472.53,121
î”,747.77,4115
î”,524.67,2082
î”,378.92,1739
î”,63.3,2160
í©,525.86,3112
í©,389.84,663
íã,1754.32,407
î”,1625.18,422
î”,359.86,1490
í©,140.08,1965
í©,829.2,290
í©,1401.98,119
í©,889.29,143
î”,105.15,669
î”,562.29,1253
íã,1057.2,686
íã,355.75,1698
íã,1464.67,54
î”,772.89,1033
î”,378.15,137
î”,742.59,2589
î”,135.02,484
íã,659.41,5196
íã,321.49,1512
î”,772.32,1774
íã,1147.84,6446
î”,418.13,243
î”,433.55,1532
íã,515.06,2608
î”,72.37,95
íã,692,873
î”,1581.75,309
î”,413.58,1137
í©,365,45
í©,1036.62,297
î”,1371.74,314
íã,932.78,389
î”,232.42,3146
íã,559.15,529
î”,253.09,2407
íã,491.21,252
íã,726.22,1156
î”,1141.37,1822
î”,537.09,542
í©,305.88,350
íã,397.11,237
î”,380.41,1767
î”,338.07,1200
íã,602.51,2180
î”,327.23,178
íã,748.95,581
í©,181.12,4499
î”,853.21,191
íã,762.01,1441
î”,1430.42,43
í©,1109.99,46
íã,683.3,61
î”,573.41,1508
î”,420.26,848
íã,222.11,445
íã,953.1,1185
î”,551.2,232
î”,304.78,5056
íã,974.06,1927
î”,1257.67,426
í©,619.59,210
íã,644.68,4190
íã,1117.63,350
î”,352.79,806
íã,647.41,149
íã,1660.39,34
íã,864.2,676
íã,1432.57,806
î”,133.02,1725
î”,197.49,1310
î”,157.02,3184
í©,59.44,485
íã,1471.85,673
î”,1066.14,3281
íã,412.34,2052
î”,550.92,1587
íã,1010.81,5436
î”,1021.92,2187
î”,989.78,2737
íã,1131.34,1684
íã,801.69,976
î”,1143.77,199
î”,511.11,3256
î”,1121.34,338
í©,201.86,423
î”,1087.6,1072
íã,830.48,1
î”,1117.17,77
í©,576.5,1975
î”,305.1,540
î”,79,657
íã,1066,88
íã,326.5,1935
íã,412.47,138
í©,556.69,3028
íã,644.27,3956
î”,1064.73,413
íã,553.1,87
í©,984.45,1916
íã,737.96,63
íã,439.96,60
íã,174.93,279
î”,1752.84,155
íã,1032.54,3499
íã,1051.02,2112
í©,386.73,1405
î”,1095.87,208
î”,274.95,1776
î”,313.11,1428
î”,125.33,464
î”,963.16,3886
í©,1002.51,1714
íã,1005.63,838
î”,229.2,2053
î”,570.13,3785
í©,776.35,3324
íã,311.94,123
íã,566.93,2704
íã,855.05,1260
íã,1618.47,164
î”,428.98,1861
î”,1144.22,838
íã,745.28,6208
î”,1001.51,359
íã,711.3,3292
î”,723.68,1022
í©,1088.03,1656
î”,365.37,1839
íã,561.22,642
íã,751.71,281
î”,456.1,373
íã,607.22,2941
î”,48.73,615
î”,1650.1,484
í©,277.13,787
íã,1144.19,4828
í©,124.91,2320
î”,261.17,341
í©,971.78,1456
íã,101.83,1904
íã,1107.43,39
î”,862.35,2994
í©,170.79,324
î”,477.5,2855
î”,1129.97,2395
íã,755.72,1602
î”,176.32,2864
íã,1012.69,1060
íã,606.47,916
î”,474.13,666
î”,100.65,530
í©,733.95,3511
î”,713.66,2910
î”,379.77,373
íã,233.31,2749
íã,44.8,1313
í©,282.84,2224
íã,1016.24,1291
íã,490.04,140
î”,139.29,815
î”,405.84,1229
í©,238.69,235
î”,1021.43,3301
î”,884.79,119
î”,456.58,331
î”,501.48,63
íã,1031.85,4164
î”,244.89,3743
î”,394.88,91
î”,383.9,186
í©,487.23,10
íã,222.98,4
íã,575.98,773
î”,362.22,2580
í©,344.18,1365
íã,1025.16,243
íã,482.6,2381
î”,1116.43,281
í©,94.6,765
íã,1297.37,317
íã,895.14,14
íã,930.22,2098
íã,126.12,1012
î”,1722.2,261
î”,88.47,787
í©,399.52,3342
íã,990.13,3103
íã,220.32,21
î”,826.88,114
î”,577.41,30
î”,584.37,393
íã,1303.53,291
î”,921.22,58
íã,485.71,307
í©,45.5,1283
íã,413.66,2718
î”,197.04,1726
î”,291.93,461
î”,424.67,1172
íã,773.76,869
í©,1018.68,1292
î”,445.63,488
í©,1060.49,2936
í©,365.04,3467
íã,1072.17,453
íã,1695.82,204
î”,98.51,2556
íã,349.56,1061
î”,845.17,1459
î”,915.87,43
î”,518.99,907
í©,481.08,309
íã,312.47,2977
í©,967.28,197
î”,550.7,859
íã,1094.84,935
î”,261.32,73
íã,371.27,680
íã,226.27,8
î”,777.43,1394
í©,1157.85,2584
î”,1083.38,185
î”,570.11,2329
íã,1723.88,145
íã,783.15,335
íã,166.5,730
î”,340.34,1581
íã,414.07,16
î”,202.59,77
î”,367.78,244
î”,474.71,1733
íã,929.65,567
î”,1079.75,367
í©,126.15,89
íã,470.15,1067
í©,553.75,1122
î”,986.39,939
î”,84.59,1363
í©,510.67,241
î”,112.77,1511
í©,679.46,1315
î”,197.33,674
î”,154.06,1813
í©,102.03,643
íã,838.79,3443
î”,523.46,1124
íã,1235.48,157
î”,401.53,226
íã,530.66,86
î”,314.8,1114
íã,401.81,1112
î”,263.74,2758
î”,32.37,2368
íã,254.53,56
íã,1377.43,397
î”,818.78,4367
î”,906.76,1304
î”,33.55,3328
íã,1144.62,260
î”,476.32,3865
î”,455.61,2169
í©,1098.73,3123
íã,686.88,3155
íã,155.89,603
î”,1059.67,1409
í©,464.58,2849
í©,311.8,4675
íã,596.68,1677
íã,548.92,1342
î”,236.45,4237
í©,393.99,1848
î”,1447.32,327
íã,339.98,2344
íã,319.57,56
î”,490.39,1006
íã,389.1,707
î”,366.85,864
í©,77.04,985
í©,214.71,2054
î”,1073.64,671
íã,826.21,3742
í©,683.54,1357
î”,313.42,24
î”,78.63,887
íã,1198.6,575
í©,207.63,1737
î”,557.06,1427
íã,669.66,98
íã,352.32,2018
íã,844.71,47
íã,392.35,1282
íã,737.32,872
î”,87.34,38
î”,761.78,3364
î”,651.58,211
î”,51.2,370
î”,271.79,2089
î”,262.19,217
î”,535.71,317
î”,212.07,3787
î”,91.06,46
í©,486.15,1769
î”,1484.57,397
íã,587.69,230
î”,397.96,1110
íã,338,685
í©,678.43,301
í©,624.59,480
í©,513.93,1045
í©,229.62,233
íã,203.42,250
íã,945.39,160
î”,1237.13,323
î”,984.75,1594
î”,261.01,1902
í©,429.93,2320
î”,606.41,673
íã,354.28,2426
î”,326.5,569
í©,458.56,3230
î”,286.28,1256
íã,1070.92,1035
î”,497.57,404
î”,662.19,3206
î”,895.24,2040
í©,218.98,1463
î”,1155.75,1384
î”,155.11,1705
î”,323.09,2460
íã,1145.39,1513
í©,768.08,748
í©,168.2,3707
î”,704.92,5686
íã,346.05,1187
í©,437.52,2126
î”,202.41,4
í©,456.17,3434
íã,721.1,1017
î”,232.74,240
î”,190.89,91
î”,994.89,4716
íã,1225.22,214
î”,841.99,450
íã,383.25,2765
î”,1479.77,460
î”,1705.01,188
í©,807.05,1466
íã,811.57,1334
í©,861.36,709
íã,1549.09,243
íã,937.4,5110
î”,106.11,1999
í©,816.18,415
í©,884.21,1871
í©,584.33,3258
íã,333.15,1302
íã,355.9,1306
í©,917.11,1541
íã,755.03,2077
î”,1515.83,108
î”,429.5,847
î”,181.18,1614
íã,642,2508
í©,930.57,131
î”,666.64,1615
í©,505,357
íã,482.15,244
íã,453.38,4626
î”,645.53,6678
íã,570.72,2476
í©,1142.61,287
î”,1234.08,266
íã,596.61,2757
íã,522.4,53
í©,237.37,633
î”,705.04,1832
íã,1228.28,526
íã,904.34,637
î”,571.72,1357
í©,877.15,2077
î”,137.73,281
í©,175.43,1208
î”,1112.72,6838
î”,391.68,522
íã,616.25,1850
î”,297.21,3280
î”,68.16,1077
î”,344.61,597
íã,494.1,468
í©,1034.68,283
íã,681.65,2658
í©,763.83,5695
í©,166.62,1669
íã,840.03,269
íã,298.72,789
î”,707.55,2779
í©,603.19,801
î”,330.59,2863
íã,623.91,582
íã,605.39,2429
íã,337.42,453
î”,1027.07,190
î”,226.65,1414
î”,258.35,327
í©,167.14,666
í©,512.1,2955
íã,710.64,1747
í©,429.04,2287
î”,469.75,1409
íã,823.2,2452
í©,759.45,718
î”,399.48,416
í©,372.58,2349
î”,866.28,3382
íã,475.9,327
î”,231.83,448
íã,130.33,1965
í©,1010.46,596
î”,207.11,2337
í©,593.18,396
í©,417.94,1139
í©,802.55,407
î”,861.61,273
í©,429.03,3069
íã,639.7,1915
í©,53.68,1731
î”,1140.16,673
î”,684.49,2851
íã,991.96,3162
î”,592.95,1760
íã,290.27,384
î”,161.49,434
î”,536.56,705
î”,70.11,1279
í©,175.47,217
íã,953.21,339
í©,854.44,19
î”,326.3,195
íã,945.68,4976
î”,243.95,1848
î”,414.37,428
î”,1293.46,294
î”,517.97,757
íã,957.72,2035
í©,804.03,1281
í©,502.96,777
î”,437.54,1510
íã,233.09,953
íã,1116.24,583
íã,125.24,1821
î”,121.01,653
î”,93.02,2628
î”,637.95,1016
î”,235.95,145
í©,736.95,285
î”,390.92,535
î”,296.11,2214
î”,458.29,2681
í©,301.64,2022
î”,570.2,3738
î”,46.87,4517
î”,597.4,162
íã,1007.11,991
íã,888.4,580
î”,31.06,34
î”,542.1,1960
î”,518.87,1105
íã,1719.52,7
í©,437.58,615
íã,512.91,260
í©,955.52,3132
î”,268.98,458
î”,479.56,104
î”,372.86,1750
íã,934.79,3128
î”,181.07,2288
î”,458.44,3907
í©,419.25,347
íã,457.38,1170
î”,186.86,1194
î”,358.22,1254
î”,1010.74,1710
î”,780.02,1175
í©,995.5,4057
î”,175.1,2399
íã,1094.48,397
î”,165.48,560
î”,210.19,3733
íã,1632.78,258
î”,148.95,1613
í©,520.86,1150
í©,517.37,139
î”,388.27,3240
î”,42.38,1649
î”,1378.16,417
íã,408.26,422
íã,529.34,621
íã,706.12,718
í©,1000.78,455
í©,676.74,622
í©,583.55,2656
í©,650.38,1114
í©,98.94,1171
î”,331.46,1734
î”,311.03,532
î”,531.21,2574
íã,109.03,3015
íã,722.37,2393
î”,358.94,3953
í©,551,149
î”,359.66,3898
î”,33.7,248
î”,616.21,2169
íã,696.12,1635
íã,456.98,1500
í©,1521.58,106
î”,238.98,331
î”,191.23,283
î”,101.92,2419
í©,1104.98,2009
íã,515.81,718
íã,400.43,534
íã,49.58,2663
í©,591.7,1477
íã,1026.43,3553
íã,1109.65,1148
í©,546.65,1418
íã,122.94,1032
íã,1115.26,941
íã,787.99,1048
î”,216.79,1040
í©,1013.09,280
î”,540.15,1031
íã,318.46,1055
î”,911.18,373
î”,77.06,1376
î”,611.89,132
í©,364.35,2931
î”,1436.61,389
íã,305.01,1161
íã,190.09,815
í©,558.68,3096
íã,1145.6,171
í©,987.75,401
î”,812.19,3021
íã,1193.89,417
íã,448.25,188
íã,313.7,2418
íã,232.12,2667
íã,890.09,1621
î”,165.54,1673
íã,359.54,564
î”,366.39,2101
î”,557.9,1949
î”,1057.67,1
í©,400.06,860
íã,319.9,2115
í©,245.81,1054
î”,585.33,3674
íã,203.58,643
íã,403.06,1137
íã,346.54,2311
î”,528.81,96
î”,1630.68,180
î”,431.68,103
í©,677.39,1176
íã,1375.75,50
í©,231.76,71
í©,61.87,5462
î”,1424.14,357
íã,943.75,1895
í©,588.97,4687
î”,282.71,322
íã,577.04,22
íã,829.04,127
î”,1030.83,367
íã,186.56,1147
íã,1015.93,902
î”,656.15,314
í©,702.79,3529
î”,594.11,405
íã,247.91,644
íã,532.06,370
í©,177.11,804
íã,772.94,1867
íã,320.75,1294
íã,61.8,1840
í©,313.39,563
î”,162.15,591
íã,735.28,3074
íã,1230.34,327
î”,473.64,835
íã,943.65,237
íã,243.52,244
î”,832.74,3961
î”,75.48,1956
î”,290.68,2024
íã,615.45,2515
î”,1332.51,522
î”,176.86,438
í©,67.49,2711
î”,155.82,1927
íã,816.64,1255
íã,1132.93,1312
í©,531.23,4151
íã,854.79,4534
íã,465.34,501
î”,419.39,155
î”,31.69,750
íã,513.08,915
íã,493.43,623
î”,479.87,971
î”,333.23,260
íã,549.32,1281
î”,1386.29,180
í©,1501.36,339
î”,493.5,29
í©,392.49,218
î”,627.13,4851
î”,1167.28,1654
íã,737.69,1387
íã,349.46,1275
î”,163.81,1573
íã,1087.09,215
î”,509.27,7
íã,583.6,924
î”,541.74,3555
íã,578.63,2166
î”,273.15,1061
íã,1108.58,4257
íã,1314.61,150
íã,436.8,3568
íã,1163.4,94
î”,676.06,319
í©,801.52,2646
íã,937.95,357
î”,356.28,666
í©,228.94,132
íã,50.05,230
íã,707.94,6880
î”,303.02,411
íã,1024.11,1367
î”,364.76,689
î”,588.84,1097
î”,1494.85,96
í©,485.88,917
íã,1002.34,648
î”,1343.33,26
î”,1222.4,206
íã,579.29,2137
íã,426.72,263
íã,1148.63,733
íã,341.3,812
íã,627.66,2106
î”,31.03,430
í©,1197.55,919
íã,520.47,91
í©,313.84,1028
í©,159.26,1906
íã,539.96,517
í©,310.38,1712
î”,272.2,656
î”,47.84,4687
íã,975.77,212
íã,920.9,83
í©,563.08,3783
î”,146.72,226
î”,89.66,1271
íã,667.81,2190
î”,306.74,3947
î”,586.02,3439
î”,762.72,1083
íã,998.04,1400
íã,736.19,680
î”,414.66,2765
î”,546.66,187
í©,411.75,3009
î”,395.55,1019
íã,227.46,3881
î”,1116.11,2214
íã,291.94,211
í©,1197.2,23
î”,605.84,317
î”,1245.2,11
íã,1077.17,2275
íã,1496.8,289
íã,1127.16,1991
í©,295.62,1294
í©,317.84,780
î”,316.1,273
í©,454.68,66
íã,962.38,1942
íã,1054.69,59
î”,140.23,1414
î”,1268.23,44
í©,962.02,3617
î”,1044.15,471
î”,1421.93,674
î”,388.65,2716
î”,371.7,1925
íã,615.5,986
î”,100.27,1418
íã,119.17,1786
íã,1535.42,372
íã,689.52,364
î”,922.27,1344
î”,1019.3,287
íã,1199.84,4215
í©,787.52,1657
íã,833.45,93
î”,53.53,1378
î”,1788.2,309
î”,377.97,232
î”,864.42,669
î”,361.73,665
î”,181.05,2068
íã,479.94,3199
î”,50.65,1189
î”,364.28,3986
î”,719.57,475
í©,474.15,1885
íã,942.9,616
î”,695.07,93
í©,1113.91,1446
íã,1084,2346
î”,712.31,221
íã,713.85,4295
í©,421.08,2047
íã,594.99,83
î”,473.14,2765
í©,424.5,1703
íã,975.35,1723
î”,887.16,5387
íã,319.17,137
î”,429.76,1790
î”,399.22,1988
î”,228.46,1171
î”,1097.31,2129
í©,953.61,1505
î”,1367.22,536
íã,906.62,715
í©,999.78,2232
î”,1102.26,1949
íã,688.2,5844
íã,376.16,661
î”,877.69,4126
íã,280.89,1070
íã,692.36,3013
íã,148.15,5187
î”,359.2,597
î”,1141.17,3326
í©,571.01,1199
íã,787.26,1032
í©,564.02,2608
î”,675.49,390
î”,111.54,445
íã,1020.68,166
í©,175.91,843
íã,957.28,1375
í©,395.12,339
í©,974.06,2087
î”,366.37,1602
î”,149.69,1597
î”,425.33,1901
íã,1079.49,767
íã,455.55,329
î”,134.54,3413
î”,1006.65,4596
íã,1049.44,2633
î”,596.21,198
íã,770.47,826
íã,1024.09,436
íã,260.61,536
î”,486.52,1421
î”,875.9,171
íã,609.46,741
î”,796.34,1189
î”,212.15,2078
í©,988.95,143
íã,316.08,144
íã,282.43,900
íã,933.44,5999
íã,536.1,841
î”,166.18,292
íã,407.14,92
î”,815.11,755
î”,1095.75,4172
íã,750.09,6
î”,321.22,1848
íã,251.87,4177
î”,625.27,12
í©,181.31,1603
í©,892.87,3301
î”,516.35,699
íã,376.6,490
î”,273.72,331
íã,471.36,180
íã,194.96,439
î”,165.32,176
íã,497.61,2654
î”,649.6,2331
î”,276.05,311
íã,1115.55,188
í©,1024.35,94
íã,256.22,3086
íã,386.03,1068
î”,431.45,1829
î”,591.94,228
î”,55.01,1455
íã,951.48,824
í©,872.69,3819
î”,468.18,16
î”,109.77,1000
íã,474.73,1596
î”,154.56,2087
î”,188.86,4561
î”,1186.46,1498
î”,292.69,1406
í©,51.6,1053
íã,744.96,1110
î”,507.36,2694
í©,272.81,1683
î”,613.69,211
í©,231.38,1548
í©,1139.36,3475
î”,244.4,545
î”,246.97,1695
íã,845.76,3264
î”,1091.48,4598
î”,253.06,3033
î”,223.27,216
íã,899.9,79
íã,746.45,228
íã,1046.09,7120
íã,483.54,408
íã,470.14,2271
íã,375.64,216
î”,651.38,2504
íã,311.46,366
î”,574.97,156
íã,941.42,3970
î”,185.41,1527
î”,870.62,442
í©,436.43,2200
î”,374.65,340
î”,791.34,1262
î”,270.19,550
íã,258.3,2425
íã,861.47,950
íã,292.94,1392
î”,866.2,2275
í©,727.42,2800
íã,681.64,229
í©,694.98,4436
íã,572.79,32
î”,268.19,480
í©,1037.08,89
í©,266.6,2662
î”,287.37,2044
î”,475.74,590
î”,1372.2,544
íã,1054.42,698
íã,1611.34,518
íã,424.36,2870
íã,678.98,459
íã,695.35,1675
íã,1071.02,1052
íã,1249.96,235
íã,258.8,916
î”,1026.6,1229
î”,83.07,957
í©,188.09,1972
íã,394.33,636
íã,1034.08,1204
íã,998.59,1456
î”,323.62,992
î”,370.25,762
íã,557.66,2152
î”,522.11,181
î”,1015.28,1867
î”,655.36,1123
íã,550.26,1647
íã,1148.49,3279
í©,803.49,361
íã,194.55,427
î”,589.59,3399
î”,160.61,2946
î”,820.64,550
î”,680.27,5397
î”,402.37,485
î”,381.62,1943
î”,563.33,21
î”,1508.44,374
íã,940.13,3436
î”,1466.02,598
íã,1088.29,43
íã,1410.11,39
í©,219.37,2
í©,790.84,207
î”,439.25,207
î”,206.17,4125
íã,393.07,3709
íã,744.8,732
í©,204.51,268
î”,403.75,188
íã,1001.71,401
í©,65.13,1472
íã,861.57,2447
íã,164.82,1212
íã,185.04,149
î”,39.75,1672
î”,635.49,1564
î”,229.43,4398
í©,43.07,2350
î”,1128.75,549
í©,227.61,389
î”,1174.06,74
í©,410.13,1060
î”,330.65,4278
î”,382.66,130
í©,329.41,2183
íã,475.8,263
î”,272.9,2147
íã,212.14,518
î”,307.26,2544
î”,38.4,334
î”,280.24,191
íã,1115.19,464
í©,463.18,2836
î”,75.5,198
î”,541.37,733
í©,166.5,355
î”,894.16,1765
î”,243.91,540
î”,514.95,2089
í©,281.68,1637
íã,932.92,1251
í©,735.78,3685
î”,187.15,1625
íã,339.95,156
î”,1004.64,123
î”,1167.2,161
î”,795.04,309
î”,552.58,6403
íã,1132.75,59
íã,1170.2,117
íã,689.47,361
î”,759,266
î”,673.48,755
íã,423.38,4463
íã,996.96,1153
íã,1477.98,196
íã,651.37,43
î”,866.59,3926
íã,689.07,1827
î”,918.77,527
íã,328.67,44
î”,825.58,275
íã,860.3,89
í©,560.32,4346
í©,184.99,1154
íã,599.55,616
î”,152.14,74
î”,347.86,1681
î”,1515.89,516
î”,388.17,671
î”,829.88,334
î”,645.95,1628
î”,652.06,571
íã,619.28,144
î”,1362.43,182
î”,1024.12,350
íã,868.3,3295
íã,1185.49,3492
íã,392.32,3876
í©,816.96,1271
íã,697.94,1902
î”,527.08,2076
íã,745.02,4681
î”,286.43,1626
íã,223.55,1080
íã,71.42,844
íã,551.05,1033
íã,1144.26,945
î”,368.64,574
î”,1108.27,1207
í©,183.08,157
í©,767.61,866
î”,377.2,603
íã,1074.17,212
î”,215.79,275
î”,539.91,2674
î”,308.1,3782
í©,415.83,4194
î”,426.5,1401
î”,1181.76,2112
íã,428.18,450
íã,1003.79,1113
î”,1753.7,248
î”,872.04,335
íã,377.33,1870
î”,706.23,1401
íã,176.52,1549
î”,1711.6,58
î”,480.09,2480
íã,433.82,3820
î”,684.09,3050
í©,820.58,752
î”,73.01,1426
íã,743.56,1594
î”,893.92,429
î”,1156.34,159
î”,942.63,408
î”,787.86,834
î”,196.47,1090
î”,529.22,975
í©,185.12,1933
î”,538.56,220
í©,661.71,2666
í©,884.75,706
î”,253.04,1625
î”,956.31,1710
íã,1145.82,33
íã,728.09,713
íã,752.92,508
íã,1101.01,269
î”,984.51,71
í©,439.59,3664
î”,80.78,3094
íã,357.99,2245
íã,552.15,3507
í©,396.92,50
íã,741.53,2144
íã,124.51,2098
íã,680.83,51
î”,339.92,4690
î”,635.71,99
íã,216.98,2039
íã,1127.71,99
íã,728.57,65
íã,1007.9,767
íã,841.83,684
î”,600.51,169
íã,493.66,1601
í©,463,4502
î”,959.83,63
î”,1102.14,2944
í©,304.57,116
í©,1051.13,568
íã,783.99,94
î”,590.3,190
î”,687.51,3779
í©,88.14,2039
î”,690.27,401
íã,1184.53,646
í©,647.08,1766
î”,343,707
í©,430.38,1376
î”,258.86,2145
î”,442.99,344
î”,1320.36,268
î”,278.65,492
î”,152.1,1372
í©,856.41,2751
í©,372.68,43
î”,993.78,3548
íã,431.63,5
í©,789.91,446
î”,473.47,2800
íã,334.82,3726
í©,1242.86,171
íã,536.44,1696
íã,541.56,2993
î”,1278.54,46
î”,374.03,3865
íã,694.52,3013
íã,499.05,674
î”,1073.08,3808
íã,813.27,58
íã,519.39,112
î”,514.39,1754
î”,822.7,135
î”,139.21,491
íã,1705.95,308
î”,40.94,1729
î”,797.61,1070
í©,836.65,117
î”,520.44,1622
íã,1040.44,1072
î”,568.89,1093
î”,1196.23,815
í©,1103.61,1600
î”,237.44,523
î”,203.58,1555
î”,825.76,1193
íã,1109.77,2458
î”,354.03,905
î”,67.16,164
î”,74.44,65
î”,621.64,146
î”,141.6,1063
íã,1019.83,573
î”,155.5,1759
í©,1118.1,3557
î”,561.84,582
íã,1012.12,597
î”,199.82,349
íã,1072.76,146
î”,497.51,2026
í©,393.62,891
î”,352.71,2716
í©,64.13,414
î”,218.47,204
î”,55.39,144
î”,1045.98,112
íã,272.83,16
íã,704.85,160
î”,381.72,1539
î”,1036.68,441
íã,774.84,321
î”,866.46,3521
íã,332.14,1044
íã,277.29,263
î”,769.14,715
íã,1147.14,72
í©,898.95,675
î”,160.88,1756
î”,422.63,172
íã,1176.91,1779
î”,1021.59,3175
íã,1454.61,266
î”,724.8,1841
î”,308.69,1156
í©,626.66,182
íã,1547.08,218
î”,227.62,478
î”,398.57,505
íã,473.91,4175
íã,570.22,275
î”,117.81,248
íã,863.17,1132
íã,553.74,581
í©,1750.23,603
î”,911.31,562
íã,932.93,6151
íã,1096.66,2494
î”,63.26,3165
î”,278.06,1455
íã,220.22,978
íã,406.52,154
î”,389.78,392
íã,1514.39,511
î”,454.79,423
íã,873.98,1059
î”,36.76,223
í©,1163.01,1297
î”,446.93,168
íã,773.48,2852
íã,213.78,91
î”,592.63,4244
í©,590.71,1824
íã,650.08,887
í©,649.23,2182
íã,411.18,3376
íã,1218.53,15
íã,954.75,1708
í©,681.63,266
î”,500.64,218
íã,426.6,154
í©,757.04,559
î”,598.07,741
íã,123.01,650
íã,370.09,1094
î”,257.52,1996
î”,628.84,1563
î”,205.51,1325
íã,1482.59,321
î”,313.77,136
î”,121.32,1532
î”,942.41,1170
î”,300.39,1068
î”,905.83,5989
î”,462.44,1733
íã,376.12,2624
í©,333.41,370
íã,784.16,606
í©,75.21,1309
íã,905.03,1463
íã,561.18,2231
î”,204.46,2447
íã,980.49,2080
î”,1581.07,222
í©,975.64,2316
î”,181.44,1369
í©,458.41,205
î”,148.4,1915
íã,988.45,103
î”,601.62,542
î”,930.78,695
íã,1138.33,537
í©,311.06,1725
î”,201.7,300
íã,631.8,79
î”,88.98,686
î”,267.78,929
î”,508.23,689
î”,120.06,631
î”,513.66,1174
íã,763.85,2346
íã,461.42,509
íã,924.59,493
íã,1514.34,65
î”,428.47,422
íã,772.83,2004
î”,115.7,4271
íã,378.71,374
î”,764.78,99
î”,414.98,1461
íã,450.24,204
íã,336.57,2004
íã,771.55,3513
î”,392.65,948
íã,1212.49,116
íã,1130.93,2545
î”,882.79,666
í©,484.3,2967
íã,659.42,434
î”,252.98,436
î”,140.19,1332
î”,993.32,1591
î”,845.9,221
í©,593.19,257
í©,1084.27,1339
í©,208.71,125
î”,571.56,1703
î”,1057.14,201
î”,847.05,122
î”,548.54,333
íã,613.54,88
í©,939.85,845
î”,751,2424
î”,45.27,4475
íã,728.91,790
íã,1053.47,1112
íã,1182.96,194
í©,907.32,147
î”,526.97,5375
í©,157.36,2694
í©,555.07,3499
í©,1472.47,103
î”,601.37,1597
íã,1094.22,258
î”,869.58,1333
íã,779.47,63
íã,896.66,50
íã,818.32,3027
î”,120.72,3637
íã,799.39,841
î”,500.43,1192
íã,1199.57,90
î”,712.76,2830
íã,142.54,266
î”,98.2,1109
î”,189.58,1614
íã,192.64,3137
íã,667.53,7134
í©,836.5,194
î”,564.72,35
î”,373.95,281
î”,338.13,3540
