レシートNo,年月日時分,年月日,年月,年,月,日,曜日,時間帯,時間,商品大分類,商品中分類,商品小分類,商品単価,商品数量,合計金額
549431,2011/4/8 12:17,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,12時台,12:17,乳卵類,乳製品,バター,469,4,1876
549431,2011/4/8 12:17,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,12時台,12:17,乳卵類,乳製品,バター,469,1,469
549433,2011/4/8 12:28,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,12時台,12:28,果物,果物加工品,果物加工品,994,4,3976
549434,2011/4/8 12:30,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,12時台,12:30,魚介類,生鮮魚介,さば,424,12,5088
549435,2011/4/8 12:33,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,12時台,12:33,果物,生鮮果物,りんご,106,15,1590
549435,2011/4/8 12:33,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,12時台,12:33,魚介類,塩干魚介,干しあじ,369,4,1476
549435,2011/4/8 12:33,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,12時台,12:33,野菜・海藻,生鮮野菜,レタス,186,4,744
549440,2011/4/8 12:42,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,12時台,12:42,果物,生鮮果物,ぶどう,619,4,2476
549439,2011/4/8 12:42,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,12時台,12:42,果物,生鮮果物,ぶどう,619,4,2476
549439,2011/4/8 12:42,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,12時台,12:42,果物,果物加工品,果物加工品,994,2,1988
549442,2011/4/8 12:56,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,12時台,12:56,果物,生鮮果物,ぶどう,619,16,9904
549446,2011/4/8 13:14,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,13時台,13:14,魚介類,魚肉練製品,ちくわ,81,24,1944
549446,2011/4/8 13:14,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,13時台,13:14,果物,生鮮果物,なし,156,12,1872
549446,2011/4/8 13:14,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,13時台,13:14,魚介類,生鮮魚介,ぶり,744,3,2232
549446,2011/4/8 13:14,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,13時台,13:14,果物,生鮮果物,なし,156,12,1872
549448,2011/4/8 14:07,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,14時台,14:07,果物,生鮮果物,なし,156,10,1560
549449,2011/4/8 14:12,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,14時台,14:12,果物,果物加工品,果物加工品,994,2,1988
549449,2011/4/8 14:12,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,14時台,14:12,魚介類,塩干魚介,干しあじ,369,6,2214
549449,2011/4/8 14:12,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,14時台,14:12,果物,生鮮果物,ぶどう,619,6,3714
549451,2011/4/8 14:14,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,14時台,14:14,果物,生鮮果物,ぶどう,619,16,9904
549520,2011/4/8 15:19,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,15時台,15:19,野菜・海藻,乾物・海藻,他の乾物・海藻,69,24,1656
549520,2011/4/8 15:19,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,15時台,15:19,果物,生鮮果物,なし,156,12,1872
549522,2011/4/8 15:34,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,15時台,15:34,果物,生鮮果物,りんご,106,12,1272
549522,2011/4/8 15:34,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,15時台,15:34,果物,生鮮果物,なし,156,10,1560
549522,2011/4/8 15:34,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,15時台,15:34,魚介類,他の魚介加工品,魚介のつくだ煮,531,4,2124
549522,2011/4/8 15:34,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,15時台,15:34,乳卵類,卵,卵,319,8,2552
549526,2011/4/8 15:49,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,15時台,15:49,野菜・海藻,生鮮野菜,じゃがいも,263,1,263
549526,2011/4/8 15:49,2011年-04月-08日,2011年-04月,2011年,04月,08日,5_金曜日,15時台,15:49,魚介類,塩干魚介,干しあじ,369,1,369
549542,2011/4/10 11:11,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:11,魚介類,塩干魚介,干しあじ,369,2,738
549542,2011/4/10 11:11,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:11,野菜・海藻,生鮮野菜,にんじん,181,5,905
549542,2011/4/10 11:11,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:11,果物,生鮮果物,りんご,106,2,212
549543,2011/4/10 11:14,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:14,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,1,206
549543,2011/4/10 11:14,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:14,野菜・海藻,乾物・海藻,他の乾物・海藻,69,1,69
549546,2011/4/10 11:24,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:24,乳卵類,乳製品,バター,469,2,938
549546,2011/4/10 11:24,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:24,肉類,加工肉,ハム,244,3,732
549546,2011/4/10 11:24,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:24,果物,生鮮果物,なし,156,12,1872
549546,2011/4/10 11:24,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:24,果物,果物加工品,果物加工品,994,1,994
549546,2011/4/10 11:24,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:24,乳卵類,乳製品,バター,469,3,1407
549546,2011/4/10 11:24,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:24,野菜・海藻,他の野菜・海藻加工品,こんにゃく,119,5,595
549548,2011/4/10 11:35,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:35,野菜・海藻,乾物・海藻,干しのり,53,1,53
549548,2011/4/10 11:35,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:35,魚介類,塩干魚介,干しあじ,369,1,369
549548,2011/4/10 11:35,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:35,野菜・海藻,生鮮野菜,もやし,15,24,360
549548,2011/4/10 11:35,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:35,乳卵類,牛乳,牛乳,211,1,211
549550,2011/4/10 11:45,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:45,魚介類,生鮮魚介,ぶり,744,1,744
549551,2011/4/10 11:48,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:48,魚介類,生鮮魚介,ぶり,744,4,2976
549551,2011/4/10 11:48,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:48,果物,生鮮果物,ぶどう,619,8,4952
549551,2011/4/10 11:48,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:48,果物,生鮮果物,なし,156,12,1872
549552,2011/4/10 11:58,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,11時台,11:58,果物,果物加工品,果物加工品,994,2,1988
549553,2011/4/10 12:22,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:22,果物,生鮮果物,りんご,106,6,636
549553,2011/4/10 12:22,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:22,野菜・海藻,生鮮野菜,じゃがいも,263,3,789
549553,2011/4/10 12:22,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:22,果物,生鮮果物,りんご,106,3,318
549553,2011/4/10 12:22,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:22,野菜・海藻,生鮮野菜,じゃがいも,263,3,789
549553,2011/4/10 12:22,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:22,乳卵類,牛乳,牛乳,211,6,1266
549554,2011/4/10 12:36,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:36,乳卵類,卵,卵,319,6,1914
549554,2011/4/10 12:36,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:36,野菜・海藻,乾物・海藻,干しのり,53,25,1325
549555,2011/4/10 12:52,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:52,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,3,618
549555,2011/4/10 12:52,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:52,肉類,加工肉,ハム,244,6,1464
549556,2011/4/10 12:53,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:53,野菜・海藻,乾物・海藻,干しのり,53,4,212
549556,2011/4/10 12:53,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:53,肉類,加工肉,ハム,244,2,488
549556,2011/4/10 12:53,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,12時台,12:53,魚介類,塩干魚介,干しあじ,369,3,1107
549558,2011/4/10 13:21,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:21,魚介類,塩干魚介,干しあじ,369,1,369
549558,2011/4/10 13:21,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:21,魚介類,魚肉練製品,ちくわ,81,1,81
549558,2011/4/10 13:21,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:21,魚介類,魚肉練製品,ちくわ,81,1,81
549558,2011/4/10 13:21,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:21,乳卵類,卵,卵,319,2,638
549558,2011/4/10 13:21,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:21,魚介類,生鮮魚介,ぶり,744,1,744
549558,2011/4/10 13:21,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:21,魚介類,生鮮魚介,ぶり,744,1,744
549559,2011/4/10 13:25,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:25,魚介類,塩干魚介,干しあじ,369,6,2214
549559,2011/4/10 13:25,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:25,果物,果物加工品,果物加工品,994,2,1988
549560,2011/4/10 13:26,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:26,魚介類,塩干魚介,干しあじ,369,1,369
549560,2011/4/10 13:26,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:26,果物,生鮮果物,なし,156,1,156
549560,2011/4/10 13:26,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:26,肉類,加工肉,ソーセージ,494,1,494
549561,2011/4/10 13:36,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:36,野菜・海藻,生鮮野菜,トマト,281,1,281
549561,2011/4/10 13:36,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:36,果物,果物加工品,果物加工品,994,1,994
549562,2011/4/10 13:48,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:48,魚介類,塩干魚介,干しあじ,369,1,369
549562,2011/4/10 13:48,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:48,果物,生鮮果物,なし,156,1,156
549562,2011/4/10 13:48,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,13時台,13:48,果物,生鮮果物,なし,156,1,156
549563,2011/4/10 14:02,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,14時台,14:02,野菜・海藻,乾物・海藻,干しのり,53,2,106
549563,2011/4/10 14:02,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,14時台,14:02,乳卵類,卵,卵,319,6,1914
549564,2011/4/10 14:16,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,14時台,14:16,魚介類,他の魚介加工品,魚介のつくだ煮,531,6,3186
549566,2011/4/10 14:27,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,14時台,14:27,野菜・海藻,乾物・海藻,他の乾物・海藻,69,1,69
549566,2011/4/10 14:27,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,14時台,14:27,果物,生鮮果物,りんご,106,3,318
549567,2011/4/10 15:07,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:07,魚介類,塩干魚介,干しあじ,369,2,738
549567,2011/4/10 15:07,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:07,乳卵類,乳製品,バター,469,1,469
549567,2011/4/10 15:07,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:07,野菜・海藻,生鮮野菜,にんじん,181,1,181
549567,2011/4/10 15:07,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:07,魚介類,他の魚介加工品,魚介のつくだ煮,531,1,531
549567,2011/4/10 15:07,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:07,魚介類,生鮮魚介,かに,1244,1,1244
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,野菜・海藻,乾物・海藻,他の乾物・海藻,69,10,690
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,12,2472
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,乳卵類,牛乳,牛乳,211,8,1688
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,野菜・海藻,乾物・海藻,他の乾物・海藻,69,24,1656
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,魚介類,生鮮魚介,しじみ,260,4,1040
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,果物,生鮮果物,りんご,106,10,1060
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,乳卵類,乳製品,バター,469,8,3752
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,魚介類,魚肉練製品,ちくわ,81,48,3888
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,果物,生鮮果物,りんご,106,3,318
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,果物,生鮮果物,りんご,106,48,5088
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,12,2472
549568,2011/4/10 15:09,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:09,果物,生鮮果物,なし,156,24,3744
549569,2011/4/10 15:15,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:15,魚介類,塩干魚介,干しあじ,369,1,369
549569,2011/4/10 15:15,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:15,肉類,加工肉,ハム,244,3,732
549569,2011/4/10 15:15,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:15,果物,生鮮果物,りんご,106,2,212
549570,2011/4/10 15:19,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:19,肉類,加工肉,ソーセージ,494,4,1976
549570,2011/4/10 15:19,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:19,野菜・海藻,生鮮野菜,じゃがいも,263,1,263
549570,2011/4/10 15:19,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:19,野菜・海藻,乾物・海藻,干しのり,53,3,159
549571,2011/4/10 15:25,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:25,果物,生鮮果物,なし,156,12,1872
549571,2011/4/10 15:25,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:25,果物,生鮮果物,なし,156,12,1872
549572,2011/4/10 15:32,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:32,魚介類,生鮮魚介,しじみ,260,12,3120
549572,2011/4/10 15:32,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:32,野菜・海藻,生鮮野菜,じゃがいも,263,3,789
549572,2011/4/10 15:32,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,15時台,15:32,果物,生鮮果物,なし,156,3,468
549573,2011/4/10 16:01,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,16時台,16:01,魚介類,塩干魚介,干しあじ,369,1,369
549573,2011/4/10 16:01,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,16時台,16:01,野菜・海藻,乾物・海藻,干しのり,53,2,106
549573,2011/4/10 16:01,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,16時台,16:01,野菜・海藻,生鮮野菜,じゃがいも,263,3,789
549573,2011/4/10 16:01,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,16時台,16:01,果物,生鮮果物,ぶどう,619,1,619
549574,2011/4/10 16:02,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,16時台,16:02,果物,生鮮果物,なし,156,12,1872
549575,2011/4/10 16:04,2011年-04月-10日,2011年-04月,2011年,04月,10日,7_日曜日,16時台,16:04,果物,生鮮果物,りんご,106,2,212
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,野菜・海藻,生鮮野菜,トマト,281,8,2248
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,野菜・海藻,生鮮野菜,じゃがいも,263,6,1578
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,野菜・海藻,乾物・海藻,干しのり,53,25,1325
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,野菜・海藻,乾物・海藻,干しのり,53,12,636
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,魚介類,生鮮魚介,さしみ盛合わせ,1063,2,2126
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,果物,生鮮果物,りんご,106,24,2544
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,果物,生鮮果物,なし,156,12,1872
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,果物,生鮮果物,なし,156,24,3744
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,魚介類,魚肉練製品,ちくわ,81,12,972
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,12,2472
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,果物,生鮮果物,りんご,106,48,5088
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,野菜・海藻,乾物・海藻,干しのり,53,25,1325
549577,2011/4/11 8:16,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:16,野菜・海藻,大豆加工品,他の大豆製品,26,30,780
549578,2011/4/11 8:49,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,08時台,8:49,魚介類,魚肉練製品,ちくわ,81,36,2916
549579,2011/4/11 9:18,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,09時台,9:18,乳卵類,卵,卵,319,12,3828
549583,2011/4/11 9:46,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,09時台,9:46,乳卵類,牛乳,牛乳,211,8,1688
549584,2011/4/11 9:47,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,09時台,9:47,野菜・海藻,生鮮野菜,にんじん,181,12,2172
549587,2011/4/11 10:01,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,10時台,10:01,果物,生鮮果物,ぶどう,619,3,1857
549590,2011/4/11 10:09,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,10時台,10:09,魚介類,生鮮魚介,ぶり,744,12,8928
549592,2011/4/11 10:14,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,10時台,10:14,果物,生鮮果物,りんご,106,12,1272
549592,2011/4/11 10:14,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,10時台,10:14,魚介類,塩干魚介,干しあじ,369,6,2214
549592,2011/4/11 10:14,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,10時台,10:14,魚介類,生鮮魚介,かに,1244,2,2488
549594,2011/4/11 10:25,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,10時台,10:25,魚介類,魚肉練製品,かまぼこ,191,48,9168
549596,2011/4/11 11:06,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,11時台,11:06,野菜・海藻,生鮮野菜,にんじん,181,12,2172
549597,2011/4/11 11:23,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,11時台,11:23,乳卵類,乳製品,バター,469,4,1876
549614,2011/4/11 11:38,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,11時台,11:38,果物,生鮮果物,りんご,106,24,2544
549619,2011/4/11 11:40,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,11時台,11:40,乳卵類,卵,卵,319,32,10208
549633,2011/4/11 11:45,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,11時台,11:45,肉類,加工肉,ハム,244,12,2928
549646,2011/4/11 11:51,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,11時台,11:51,果物,生鮮果物,なし,156,12,1872
549646,2011/4/11 11:51,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,11時台,11:51,果物,生鮮果物,りんご,106,12,1272
549664,2011/4/11 12:13,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,12時台,12:13,果物,生鮮果物,なし,156,3,468
549665,2011/4/11 12:17,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,12時台,12:17,魚介類,生鮮魚介,さけ,519,5,2595
549665,2011/4/11 12:17,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,12時台,12:17,魚介類,生鮮魚介,さけ,519,7,3633
549667,2011/4/11 12:20,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,12時台,12:20,魚介類,生鮮魚介,さしみ盛合わせ,1063,2,2126
549667,2011/4/11 12:20,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,12時台,12:20,果物,生鮮果物,りんご,106,12,1272
549678,2011/4/11 12:57,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,12時台,12:57,乳卵類,卵,卵,319,40,12760
549678,2011/4/11 12:57,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,12時台,12:57,肉類,生鮮肉,他の生鮮肉,844,10,8440
549679,2011/4/11 12:59,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,12時台,12:59,果物,生鮮果物,なし,156,24,3744
549680,2011/4/11 13:02,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,13時台,13:02,野菜・海藻,他の野菜・海藻加工品,はくさい漬,206,12,2472
549680,2011/4/11 13:02,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,13時台,13:02,野菜・海藻,大豆加工品,他の大豆製品,26,36,936
549681,2011/4/11 13:19,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,13時台,13:19,野菜・海藻,乾物・海藻,他の乾物・海藻,69,24,1656
549682,2011/4/11 13:22,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,13時台,13:22,野菜・海藻,乾物・海藻,干しのり,53,12,636
549683,2011/4/11 13:24,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,13時台,13:24,魚介類,生鮮魚介,しじみ,260,10,2600
549683,2011/4/11 13:24,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,13時台,13:24,乳卵類,卵,卵,319,6,1914
549687,2011/4/11 13:29,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,13時台,13:29,野菜・海藻,乾物・海藻,他の乾物・海藻,69,24,1656
549690,2011/4/11 13:41,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,13時台,13:41,野菜・海藻,生鮮野菜,じゃがいも,263,1,263
549691,2011/4/11 13:42,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,13時台,13:42,野菜・海藻,乾物・海藻,他の乾物・海藻,69,24,1656
549693,2011/4/11 13:43,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,13時台,13:43,乳卵類,乳製品,バター,469,4,1876
549705,2011/4/11 14:00,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,14時台,14:00,魚介類,生鮮魚介,かに,1244,1,1244
549705,2011/4/11 14:00,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,14時台,14:00,果物,生鮮果物,りんご,106,1,106
549711,2011/4/11 14:07,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,14時台,14:07,果物,生鮮果物,すいか,1119,3,3357
549713,2011/4/11 14:11,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,14時台,14:11,肉類,生鮮肉,牛肉,1031,2,2062
549713,2011/4/11 14:11,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,14時台,14:11,肉類,生鮮肉,牛肉,1031,2,2062
549713,2011/4/11 14:11,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,14時台,14:11,肉類,生鮮肉,牛肉,1031,2,2062
549713,2011/4/11 14:11,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,14時台,14:11,野菜・海藻,生鮮野菜,じゃがいも,263,2,526
549713,2011/4/11 14:11,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,14時台,14:11,果物,果物加工品,果物加工品,994,1,994
549713,2011/4/11 14:11,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,14時台,14:11,果物,生鮮果物,なし,156,2,312
549713,2011/4/11 14:11,2011年-04月-11日,2011年-04月,2011年,04月,11日,1_月曜日,14時台,14:11,肉類,加工肉,ハム,244,4,976
