注文番号,店舗名,来店曜日,来店時間帯,滞留時間,性別,年齢層,年齢,合計金額,フラグ
1604,01A,04木,03夜間,966.19,02女,03青年,28,284,0
1605,01A,04木,03夜間,153.85,02女,04中年,50,81,0
1607,01A,01月,02日中,491.6,02女,04中年,52,1777,0
1613,01A,04木,03夜間,34.72,02女,03青年,19,447,0
1643,01A,06土,03夜間,345.31,02女,04中年,38,751,0
1647,01A,04木,01朝,76.53,02女,03青年,24,571,0
1651,01A,06土,03夜間,1261,02女,01小児,11,204,0
1653,01A,05金,01朝,351.25,02女,03青年,24,980,0
1666,01A,02火,01朝,484.11,02女,03青年,34,953,0
1667,01A,07日,01朝,300.35,02女,05壮年,80,887,0
1668,01A,03水,03夜間,1060.69,02女,04中年,60,449,0
1677,01A,01月,03夜間,1134,02女,02中高生,16,168,0
1678,01A,04木,03夜間,87.65,02女,04中年,38,642,0
1679,01A,07日,01朝,444.06,02女,04中年,59,915,0
1697,01A,07日,03夜間,455,02女,02中高生,15,173,0
1705,01A,01月,03夜間,569.21,02女,03青年,23,559,0
1716,01A,07日,03夜間,835.97,02女,03青年,25,141,0
1723,01A,05金,03夜間,434.17,02女,04中年,57,240,0
1729,01A,07日,02日中,1182.4,02女,02中高生,16,382,0
1744,01A,04木,02日中,851.73,02女,02中高生,15,504,0
1766,01A,04木,03夜間,168.28,02女,03青年,20,150,0
1768,01A,01月,01朝,360.36,02女,02中高生,13,320,0
1770,01A,07日,02日中,775.58,02女,04中年,41,1280,0
1782,01A,02火,01朝,1143.55,02女,02中高生,13,599,0
1784,01A,02火,02日中,921.87,02女,04中年,57,1237,0
1788,01A,05金,03夜間,545,02女,02中高生,14,311,0
1803,01A,01月,03夜間,1171.78,02女,04中年,39,200,0
1816,01A,04木,03夜間,636.79,02女,05壮年,61,526,0
1819,01A,04木,02日中,659.88,02女,04中年,55,1454,0
1820,01A,03水,01朝,1306.76,02女,02中高生,18,468,0
1827,01A,02火,02日中,943.72,02女,04中年,60,1277,0
1828,01A,04木,03夜間,668.15,02女,04中年,59,354,0
1829,01A,07日,02日中,42.27,02女,03青年,30,874,0
1842,01A,04木,02日中,824.07,02女,01小児,7,685,0
1844,01A,07日,02日中,854.03,02女,03青年,31,854,0
1846,01A,04木,03夜間,555,02女,02中高生,17,124,0
1852,01A,06土,01朝,546.52,02女,01小児,12,84,0
1853,01A,02火,02日中,674.24,02女,04中年,59,807,0
1855,01A,06土,02日中,482.75,02女,03青年,19,401,0
1856,01A,07日,03夜間,788.69,02女,05壮年,90,503,0
1866,01A,02火,02日中,663.1,02女,03青年,29,1041,0
1869,01A,05金,02日中,464.62,02女,03青年,25,1217,0
1891,01A,04木,02日中,982.43,02女,05壮年,72,1582,0
1916,01A,03水,02日中,710.63,02女,03青年,29,903,0
1931,01A,02火,02日中,585.34,02女,04中年,55,605,0
1933,01A,07日,03夜間,662.98,02女,05壮年,71,378,0
1935,01A,06土,03夜間,785.08,02女,04中年,54,504,0
1942,01A,06土,03夜間,457.61,02女,03青年,21,444,0
1943,01A,05金,03夜間,282.67,02女,04中年,50,643,0
1949,01A,01月,03夜間,1760,02女,02中高生,17,256,0
1951,01A,01月,01朝,246.12,02女,03青年,19,362,0
1960,01A,04木,01朝,1148.39,02女,05壮年,65,200,0
1964,01A,03水,02日中,960.26,02女,04中年,58,1008,0
1965,01A,07日,03夜間,566,02女,02中高生,18,283,1
1968,01A,02火,02日中,726.11,02女,05壮年,77,1234,1
1985,01A,06土,03夜間,149.7,02女,04中年,41,333,1
1998,01A,05金,02日中,1106.77,02女,04中年,52,1183,1
1999,01A,05金,02日中,957.57,02女,02中高生,16,384,1
2005,01A,06土,03夜間,1236,02女,03青年,35,100,1
2008,01A,07日,02日中,307.28,02女,03青年,23,1080,1
2020,01A,06土,02日中,55.61,02女,02中高生,13,628,1
2028,01A,01月,02日中,924.85,02女,02中高生,17,601,1
2029,01A,05金,03夜間,399.27,02女,04中年,38,529,1
2033,01A,07日,03夜間,588.47,02女,03青年,32,531,1
2038,01A,03水,02日中,594.59,02女,03青年,35,1127,1
2041,01A,02火,03夜間,1648.57,02女,05壮年,92,259,1
2043,01A,03水,01朝,1222.3,02女,02中高生,18,216,1
2051,01A,07日,03夜間,526.35,02女,03青年,28,138,1
2058,01A,02火,02日中,928.79,02女,05壮年,71,279,1
2065,01A,04木,03夜間,831.96,02女,04中年,39,291,1
2074,01A,06土,03夜間,716,02女,01小児,10,312,1
2077,01A,07日,01朝,404.39,02女,02中高生,13,325,1
2083,01A,03水,02日中,1192.68,02女,04中年,37,1053,1
2086,01A,07日,01朝,275.37,02女,05壮年,69,535,1
2099,01A,01月,02日中,966.55,02女,03青年,32,884,1
2103,01A,06土,01朝,441.46,02女,02中高生,17,651,1
2104,01A,03水,02日中,227.81,02女,03青年,19,616,1
2105,01A,05金,02日中,825.99,02女,04中年,53,472,1
2110,01A,06土,01朝,240.47,02女,04中年,44,389,1
2113,01A,01月,01朝,487.47,02女,02中高生,14,163,1
2119,01A,04木,03夜間,201,02女,02中高生,15,302,1
2122,01A,05金,02日中,935.91,02女,05壮年,78,1392,1
2123,01A,06土,03夜間,1079.83,02女,04中年,53,624,1
2130,01A,03水,02日中,797.36,02女,04中年,59,1647,1
2136,01A,04木,01朝,1178.69,02女,05壮年,61,669,1
2138,01A,07日,03夜間,795.07,02女,04中年,46,728,1
2143,01A,01月,03夜間,1987,02女,02中高生,18,104,1
2150,01A,05金,01朝,560.02,02女,04中年,40,415,1
2156,01A,05金,03夜間,830.2,02女,03青年,31,650,1
2161,01A,04木,01朝,794.85,02女,02中高生,14,674,1
2166,01A,02火,02日中,418.09,02女,02中高生,14,706,1
2189,01A,03水,02日中,1188.66,02女,03青年,25,941,1
2200,01A,07日,03夜間,1270,02女,01小児,12,105,1
2204,01A,03水,02日中,640.99,02女,02中高生,15,1054,1
2206,01A,01月,02日中,1210.03,02女,02中高生,17,370,1
2215,01A,05金,03夜間,1017.39,02女,04中年,58,334,1
2222,01A,07日,01朝,691.96,02女,05壮年,71,813,1
2231,01A,03水,03夜間,414,02女,02中高生,17,40,1
2233,01A,04木,03夜間,1071,02女,02中高生,17,92,1
2236,01A,07日,01朝,601.87,02女,03青年,21,455,1
2248,01A,01月,03夜間,736.75,02女,04中年,53,425,1
2259,01A,05金,02日中,1059.34,02女,04中年,56,661,1
2260,01A,04木,01朝,422.94,02女,03青年,27,148,1
2264,01A,02火,02日中,1114.94,02女,04中年,51,1550,1
2266,01A,05金,02日中,592.47,02女,03青年,32,444,1
2276,01A,05金,02日中,300.52,02女,02中高生,17,195,1
2278,01A,07日,01朝,482.85,02女,03青年,20,536,1
2282,01A,04木,03夜間,1798,02女,01小児,11,64,1
2283,01A,02火,02日中,565.26,02女,03青年,29,584,1
2285,01A,06土,02日中,256.97,02女,02中高生,17,391,1
2287,01A,03水,01朝,435.98,02女,04中年,39,778,1
2294,01A,07日,03夜間,874.65,02女,04中年,50,471,1
2295,01A,01月,02日中,439.5,02女,02中高生,15,689,1
2300,01A,02火,03夜間,336.95,02女,02中高生,14,471,1
2307,01A,05金,01朝,1005.46,02女,03青年,22,456,1
2316,01A,04木,01朝,1192.87,02女,03青年,23,870,1
2318,01A,04木,01朝,1063.11,02女,05壮年,64,400,1
2324,01A,01月,03夜間,103.38,02女,03青年,22,767,1
2325,01A,06土,03夜間,2438,02女,02中高生,18,100,1
2335,01A,06土,01朝,743.26,02女,01小児,12,425,1
2336,01A,06土,02日中,343.29,02女,04中年,51,1444,1
2341,01A,05金,01朝,131.83,02女,03青年,21,206,1
2347,01A,01月,02日中,393.07,02女,04中年,51,864,1
2354,01A,03水,02日中,1184.67,02女,02中高生,13,710,1
2394,01A,03水,03夜間,1074.98,02女,04中年,50,328,1
2396,01A,02火,02日中,282.03,02女,02中高生,17,371,1
2400,01A,04木,03夜間,978,02女,02中高生,16,86,1
2405,01A,06土,02日中,374.81,02女,03青年,27,1515,1
2415,01A,06土,03夜間,269.23,02女,04中年,37,670,1
2416,01A,07日,03夜間,441.61,02女,04中年,60,427,1
2417,01A,01月,02日中,810.52,02女,05壮年,72,759,1
2434,01A,05金,02日中,1128.92,02女,03青年,19,333,1
2435,01A,04木,02日中,741.78,02女,05壮年,72,668,1
2439,01A,02火,02日中,398.79,02女,04中年,46,285,1
2448,01A,03水,02日中,488.06,02女,04中年,56,873,1
2449,01A,06土,02日中,460.41,02女,03青年,26,374,1
2452,01A,05金,02日中,1079.69,02女,03青年,32,866,1
2456,01A,06土,03夜間,332.62,02女,04中年,48,152,1
2462,01A,04木,03夜間,567.58,02女,04中年,58,378,1
2472,01A,02火,03夜間,543.32,02女,03青年,20,384,1
2481,01A,05金,01朝,695.35,02女,05壮年,89,1008,1
2482,01A,03水,02日中,813.31,02女,03青年,34,1004,1
2483,01A,05金,01朝,565.4,02女,02中高生,16,320,1
2488,01A,04木,03夜間,311.16,02女,04中年,53,600,1
2489,01A,03水,03夜間,353.36,02女,03青年,27,391,1
2513,01A,06土,02日中,1126.63,02女,05壮年,77,923,1
2521,01A,01月,02日中,248.52,02女,03青年,20,549,1
2523,01A,01月,01朝,872.13,02女,02中高生,13,760,1
2525,01A,01月,02日中,871.39,02女,05壮年,91,400,1
2530,01A,03水,03夜間,324.68,02女,04中年,40,366,1
2543,01A,05金,03夜間,631.95,02女,04中年,49,639,1
2567,01A,03水,01朝,1166.83,02女,04中年,60,445,1
2571,01A,04木,02日中,590.62,02女,04中年,57,888,1
2574,01A,05金,03夜間,290.03,02女,04中年,47,503,1
2583,01A,04木,03夜間,302,02女,02中高生,15,241,1
2584,01A,07日,02日中,890.26,02女,04中年,54,1448,1
2586,01A,04木,03夜間,698.85,02女,04中年,55,281,1
2606,01A,07日,03夜間,304,02女,02中高生,18,130,1
2610,01A,05金,01朝,637.29,02女,01小児,4,204,1
2619,01A,06土,03夜間,358.72,02女,04中年,45,152,1
2621,01A,06土,03夜間,869.23,02女,04中年,51,534,1
2625,01A,04木,02日中,510.08,02女,03青年,21,1021,1
2628,01A,01月,02日中,586.86,02女,05壮年,67,325,1
2650,01A,03水,01朝,239.52,02女,01小児,7,419,1
2657,01A,01月,03夜間,1347,02女,02中高生,18,84,1
2661,01A,07日,03夜間,34.34,02女,03青年,19,632,1
2666,01A,07日,03夜間,1135.8,02女,05壮年,76,635,1
2667,01A,06土,03夜間,654,02女,02中高生,13,278,1
2669,01A,04木,02日中,663.22,02女,03青年,33,892,1
2676,01A,03水,01朝,1624.81,02女,02中高生,16,460,1
2698,01A,04木,02日中,1144.66,02女,02中高生,13,346,1
2706,01A,05金,03夜間,305.45,02女,04中年,36,524,1
2709,01A,03水,03夜間,775,02女,02中高生,18,236,1
2718,01A,05金,02日中,814.48,02女,03青年,34,1018,1
2721,01A,07日,03夜間,254.36,02女,04中年,47,756,1
2722,01A,01月,03夜間,737.16,02女,05壮年,63,613,1
2734,01A,07日,03夜間,329.41,02女,04中年,43,747,1
2735,01A,07日,02日中,575.93,02女,02中高生,14,1011,1
2737,01A,02火,03夜間,368.7,02女,03青年,20,610,1
2743,01A,06土,03夜間,441.26,02女,04中年,38,681,1
2752,01A,07日,02日中,886.71,02女,01小児,12,325,1
2753,01A,06土,03夜間,297.19,02女,04中年,38,740,1
2764,01A,03水,02日中,61.45,02女,05壮年,69,632,1
2768,01A,04木,02日中,648.24,02女,05壮年,76,1477,1
2773,01A,06土,03夜間,167.56,02女,04中年,38,722,1
2782,01A,03水,02日中,366.14,02女,04中年,56,535,1
2793,01A,06土,03夜間,648.16,02女,04中年,55,653,1
2795,01A,02火,03夜間,498.72,02女,03青年,19,354,1
2799,01A,04木,03夜間,598.26,02女,03青年,21,328,1
2806,01A,04木,03夜間,626.55,02女,05壮年,77,129,1
2808,01A,04木,02日中,331.72,02女,04中年,57,993,1
2811,01A,02火,01朝,351.75,02女,03青年,20,151,1
2812,01A,06土,03夜間,1015.44,02女,04中年,51,327,1
2813,01A,07日,03夜間,2036,02女,02中高生,17,23,1
2817,01A,07日,02日中,1182.34,02女,05壮年,79,985,1
2824,01A,03水,03夜間,800.81,02女,03青年,28,396,1
2828,01A,01月,03夜間,497.52,02女,01小児,9,795,1
2830,01A,04木,03夜間,581.86,02女,04中年,45,430,1
2835,01A,05金,03夜間,1162,02女,01小児,10,162,1
2839,01A,02火,03夜間,986.11,02女,04中年,59,261,1
2845,01A,01月,02日中,1197.12,02女,02中高生,18,354,1
2854,01A,02火,01朝,82.25,02女,05壮年,70,496,1
2862,01A,03水,02日中,1374.12,02女,02中高生,17,325,1
2868,01A,01月,02日中,881.16,02女,05壮年,71,1490,1
2873,01A,07日,03夜間,372.24,02女,03青年,19,196,1
2882,01A,01月,02日中,1137.31,02女,01小児,4,267,1
2884,01A,03水,03夜間,1740,02女,02中高生,15,221,1
2888,01A,02火,03夜間,1026.78,02女,05壮年,74,530,1
2899,01A,07日,02日中,1013.66,02女,04中年,55,1533,1
2902,01A,03水,03夜間,518.78,02女,03青年,22,480,1
2921,01A,07日,01朝,204.21,02女,01小児,12,183,1
2934,01A,01月,03夜間,849.88,02女,03青年,28,215,1
2940,01A,06土,02日中,379.81,02女,02中高生,17,539,1
2944,01A,04木,03夜間,1013.83,02女,05壮年,74,420,1
2952,01A,03水,03夜間,653.54,02女,01小児,9,567,1
2953,01A,02火,02日中,587.82,02女,03青年,26,1693,1
2966,01A,02火,02日中,489.52,02女,04中年,55,1713,1
2971,01A,05金,03夜間,158.82,02女,04中年,43,618,1
2977,01A,02火,01朝,1096.77,02女,03青年,22,422,1
2986,01A,05金,01朝,983.08,02女,04中年,57,543,1
2990,01A,06土,02日中,406.49,02女,02中高生,16,391,1
2993,01A,07日,03夜間,1019.27,02女,04中年,47,684,1
2994,01A,06土,03夜間,959.62,02女,05壮年,92,324,1
3004,01A,03水,03夜間,359.39,02女,05壮年,84,426,1
3009,01A,01月,02日中,1080.43,02女,03青年,24,385,1
3015,01A,01月,02日中,702.43,02女,05壮年,78,871,1
3021,01A,04木,01朝,884.18,02女,04中年,51,791,1
3026,01A,06土,02日中,912.06,02女,03青年,30,1059,1
3029,01A,07日,03夜間,367.43,02女,04中年,59,522,1
3032,01A,01月,03夜間,673.72,02女,05壮年,77,443,1
3038,01A,04木,01朝,42.69,02女,04中年,39,729,1
3047,01A,02火,02日中,321.88,02女,04中年,48,1106,1
3064,01A,06土,03夜間,2146,02女,02中高生,16,52,1
3066,01A,01月,01朝,204.91,02女,04中年,49,557,1
3068,01A,04木,02日中,959.93,02女,03青年,24,1167,1
3078,01A,06土,02日中,823.11,02女,03青年,27,590,1
3092,01A,05金,02日中,584.3,02女,03青年,30,805,1
3121,01A,07日,03夜間,251.76,02女,03青年,19,696,1
3124,01A,06土,03夜間,242.2,02女,03青年,21,702,1
3135,01A,04木,02日中,633.77,02女,02中高生,18,557,1
3172,01A,07日,02日中,619.44,02女,01小児,10,474,1
3174,01A,05金,01朝,591.42,02女,01小児,7,182,1
3195,01A,04木,02日中,721.3,02女,05壮年,89,1469,1
3199,01A,03水,02日中,341.05,02女,04中年,60,1129,1
3212,01A,05金,02日中,758.74,02女,04中年,53,766,1
3216,01A,01月,02日中,222.08,02女,05壮年,62,588,1
3217,01A,01月,03夜間,1178,02女,02中高生,17,156,1
3223,01A,04木,01朝,1480.87,02女,03青年,23,225,1
3233,01A,06土,03夜間,724.24,02女,05壮年,94,273,1
3242,01A,06土,03夜間,502.32,02女,03青年,22,401,1
3247,01A,06土,01朝,237.64,02女,03青年,32,631,1
3250,01A,01月,01朝,365.99,02女,03青年,20,349,1
3256,01A,07日,01朝,501.03,02女,02中高生,17,787,1
3257,01A,07日,03夜間,666.29,02女,02中高生,14,455,1
3262,01A,06土,02日中,660.31,02女,05壮年,67,420,1
3263,01A,06土,03夜間,1691,02女,02中高生,18,74,1
3268,01A,04木,02日中,1150.2,02女,05壮年,74,476,1
3292,01A,04木,03夜間,1121,02女,02中高生,17,233,1
3293,01A,02火,02日中,1107.26,02女,03青年,29,1050,1
3295,01A,02火,03夜間,358.55,02女,03青年,21,463,1
3315,01A,04木,01朝,95.15,02女,05壮年,63,429,1
3316,01A,05金,02日中,873.83,02女,04中年,46,439,1
3325,01A,04木,02日中,746.54,02女,03青年,35,1035,1
3326,01A,01月,03夜間,724.87,02女,03青年,30,628,1
3328,01A,01月,02日中,594.68,02女,05壮年,70,684,1
3344,01A,05金,01朝,53.31,02女,03青年,20,882,1
3346,01A,07日,03夜間,1187.36,02女,04中年,48,426,1
3349,01A,04木,01朝,220.25,02女,04中年,39,381,1
3351,01A,06土,03夜間,1890,02女,02中高生,17,110,1
3357,01A,07日,03夜間,334.43,02女,03青年,20,637,1
3361,01A,07日,03夜間,393,02女,01小児,11,168,1
3364,01A,03水,02日中,788.48,02女,05壮年,80,1477,1
3379,01A,04木,03夜間,974,02女,02中高生,16,183,1
3381,01A,02火,03夜間,322.11,02女,04中年,55,229,1
3388,01A,06土,03夜間,2391,02女,02中高生,18,59,1
3390,01A,02火,01朝,525.55,02女,04中年,56,607,1
3399,01A,03水,02日中,432.5,02女,05壮年,81,814,1
3401,01A,06土,02日中,681.22,02女,03青年,32,801,1
3404,01A,02火,02日中,599.44,02女,05壮年,90,297,1
3405,01A,06土,02日中,191.31,02女,05壮年,69,860,1
3409,01A,06土,02日中,902.23,02女,01小児,12,446,1
3410,01A,07日,03夜間,1197.11,02女,03青年,28,432,1
3431,01A,03水,03夜間,555.7,02女,05壮年,70,807,1
3432,01A,05金,03夜間,683.78,02女,03青年,32,265,1
3443,01A,04木,03夜間,777.98,02女,05壮年,81,216,1
3445,01A,05金,02日中,225.59,02女,03青年,34,345,1
3452,01A,07日,03夜間,766.78,02女,03青年,19,38,1
3453,01A,04木,03夜間,1027.39,02女,04中年,54,450,1
3460,01A,06土,03夜間,1305.56,02女,04中年,59,142,1
3462,01A,04木,02日中,1191.83,02女,04中年,60,790,1
3479,01A,07日,03夜間,585,02女,01小児,10,80,1
3483,01A,02火,01朝,326.12,02女,03青年,25,856,1
3489,01A,07日,02日中,601.49,02女,02中高生,18,203,1
3490,01A,03水,03夜間,1170.57,02女,03青年,28,618,1
3522,01A,07日,02日中,862.34,02女,03青年,33,1090,1
3523,01A,01月,03夜間,235.52,02女,03青年,21,624,1
3525,01A,01月,02日中,501.82,02女,04中年,54,951,1
3545,01A,04木,02日中,389.19,02女,02中高生,14,327,1
3547,01A,05金,01朝,271.14,02女,03青年,20,594,1
3552,01A,02火,03夜間,1436,02女,02中高生,17,53,1
3560,01A,07日,01朝,796.67,02女,05壮年,93,285,1
3564,01A,03水,03夜間,1289,02女,01小児,10,212,1
3566,01A,01月,02日中,1047.56,02女,04中年,53,731,1
3567,01A,03水,02日中,467.58,02女,03青年,24,1069,1
3569,01A,07日,03夜間,187.44,02女,03青年,22,404,1
3571,01A,01月,03夜間,429.55,02女,04中年,52,383,1
3586,01A,01月,01朝,547.66,02女,01小児,10,486,1
3593,01A,02火,02日中,962.53,02女,03青年,23,1536,1
3596,01A,05金,03夜間,69.8,02女,03青年,30,887,1
3613,01A,06土,01朝,1027.62,02女,04中年,53,1203,1
3621,01A,06土,03夜間,1127.35,02女,04中年,44,728,1
3636,01A,04木,02日中,260.4,02女,01小児,6,791,1
3639,01A,03水,02日中,553.89,02女,04中年,51,1220,1
3643,01A,04木,03夜間,331.37,02女,04中年,46,709,1
3651,01A,01月,03夜間,243.37,02女,03青年,19,574,1
3684,01A,04木,01朝,512.92,02女,02中高生,15,618,1
3688,01A,07日,02日中,945.57,02女,04中年,58,777,1
3705,01A,07日,03夜間,507.06,02女,04中年,40,401,1
3712,01A,01月,03夜間,1013.28,02女,04中年,60,474,1
3714,01A,02火,02日中,1091.22,02女,04中年,44,1322,1
3717,01A,03水,02日中,336.69,02女,05壮年,80,927,1
3720,01A,06土,03夜間,452.23,02女,04中年,44,488,1
3731,01A,02火,03夜間,544.33,02女,05壮年,90,327,1
3732,01A,07日,02日中,638.23,02女,03青年,28,1594,1
3734,01A,03水,01朝,49.4,02女,01小児,8,730,1
3738,01A,01月,02日中,903.01,02女,02中高生,18,1100,1
3739,01A,05金,02日中,733.82,02女,02中高生,15,789,1
3742,01A,03水,02日中,722.65,02女,03青年,31,864,1
3752,01A,02火,03夜間,215.98,02女,03青年,19,192,1
3757,01A,03水,03夜間,1056.54,02女,03青年,32,651,1
3768,01A,04木,01朝,230.31,02女,04中年,45,519,1
3791,01A,05金,02日中,756.11,02女,04中年,60,1253,1
3803,01A,01月,02日中,1186.23,02女,04中年,57,572,1
3804,01A,04木,02日中,665.52,02女,03青年,23,398,1
3808,01A,06土,01朝,793.46,02女,04中年,52,971,1
3826,01A,01月,03夜間,1817,02女,02中高生,17,79,1
3831,01A,01月,02日中,318.02,02女,04中年,54,941,1
3833,01A,01月,01朝,209.43,02女,03青年,29,526,1
3834,01A,02火,03夜間,924.02,02女,04中年,56,315,1
3837,01A,06土,02日中,703.3,02女,04中年,58,888,1
3847,01A,05金,01朝,562.5,02女,03青年,31,569,1
3848,01A,07日,01朝,217.37,02女,04中年,49,599,1
3861,01A,04木,02日中,990.64,02女,02中高生,13,351,1
3876,01A,07日,02日中,258.37,02女,05壮年,69,481,1
3882,01A,01月,01朝,1119.28,02女,04中年,59,607,1
3884,01A,01月,03夜間,161.05,02女,04中年,38,278,1
3891,01A,06土,03夜間,490.33,02女,04中年,43,420,1
3897,01A,01月,03夜間,576,02女,02中高生,17,246,1
3905,01A,07日,02日中,1184.56,02女,05壮年,74,538,1
3,02B,01月,03夜間,598,01男,02中高生,13,402,0
4,02B,05金,02日中,32.02,01男,05壮年,66,284,0
12,02B,06土,03夜間,312.29,01男,04中年,50,992,0
18,02B,04木,03夜間,273.63,01男,04中年,38,1172,0
19,02B,04木,02日中,1390.65,01男,02中高生,17,407,0
24,02B,07日,02日中,694.29,01男,04中年,60,316,0
26,02B,01月,03夜間,959.98,01男,03青年,19,533,0
30,02B,04木,03夜間,46.49,01男,04中年,47,832,0
34,02B,04木,03夜間,215.54,01男,04中年,42,1262,0
36,02B,05金,03夜間,137.36,01男,03青年,30,808,0
45,02B,03水,01朝,248.5,01男,04中年,37,618,0
48,02B,06土,02日中,573.14,01男,03青年,24,498,0
60,02B,02火,02日中,1180.68,01男,04中年,54,331,0
64,02B,06土,03夜間,189,01男,02中高生,14,200,0
81,02B,04木,01朝,274.6,01男,05壮年,68,703,0
88,02B,05金,02日中,563.87,01男,02中高生,17,272,0
90,02B,04木,03夜間,325.11,01男,05壮年,67,287,0
91,02B,03水,03夜間,664,01男,02中高生,13,231,0
95,02B,04木,02日中,1109.37,01男,03青年,32,269,0
99,02B,02火,03夜間,189.63,01男,03青年,21,96,0
102,02B,03水,03夜間,884.32,01男,03青年,25,1991,0
110,02B,02火,02日中,419.59,01男,01小児,8,284,0
112,02B,01月,01朝,272.49,01男,03青年,20,384,0
115,02B,01月,02日中,278.68,01男,02中高生,17,467,0
122,02B,03水,03夜間,138.81,01男,05壮年,61,1205,0
127,02B,07日,03夜間,614.73,01男,05壮年,63,395,0
131,02B,03水,03夜間,1142.16,01男,03青年,33,801,0
132,02B,06土,03夜間,540.48,01男,03青年,22,311,0
133,02B,03水,03夜間,294.32,01男,04中年,40,377,0
136,02B,07日,03夜間,619.4,01男,05壮年,74,2069,0
137,02B,05金,02日中,88.72,01男,04中年,44,466,0
143,02B,03水,03夜間,1426,01男,02中高生,18,181,0
150,02B,04木,03夜間,714.94,01男,05壮年,70,486,0
160,02B,03水,03夜間,372.34,01男,04中年,39,879,0
180,02B,03水,01朝,844.02,01男,02中高生,13,931,0
186,02B,02火,02日中,537,01男,04中年,42,156,0
190,02B,02火,02日中,841.22,01男,03青年,34,204,0
201,02B,01月,01朝,429.79,01男,02中高生,18,448,0
209,02B,01月,03夜間,433.8,01男,03青年,22,522,0
215,02B,04木,03夜間,1299,01男,01小児,12,312,0
222,02B,07日,02日中,533.4,01男,03青年,20,292,0
228,02B,01月,02日中,635.75,01男,03青年,31,238,0
232,02B,02火,03夜間,2455,01男,02中高生,17,145,0
234,02B,06土,02日中,495.64,01男,02中高生,13,639,0
238,02B,06土,03夜間,105.67,01男,03青年,20,503,0
247,02B,07日,02日中,1155.75,01男,05壮年,82,116,0
298,02B,07日,02日中,957.21,01男,05壮年,65,663,0
300,02B,06土,02日中,164.82,01男,04中年,37,311,0
302,02B,06土,02日中,769.91,01男,04中年,60,272,0
307,02B,03水,01朝,195.5,01男,03青年,31,522,0
310,02B,03水,02日中,806.94,01男,05壮年,96,396,0
312,02B,07日,02日中,152.51,01男,03青年,21,224,0
323,02B,03水,03夜間,1537,01男,01小児,11,181,0
324,02B,07日,01朝,616.71,01男,05壮年,65,691,0
336,02B,02火,03夜間,193.72,01男,04中年,45,839,0
338,02B,06土,03夜間,123.52,01男,04中年,39,573,0
344,02B,01月,02日中,1142.02,01男,04中年,39,764,0
348,02B,01月,01朝,252.08,01男,02中高生,15,402,0
356,02B,02火,03夜間,1151,01男,02中高生,17,266,0
376,02B,01月,03夜間,579.09,01男,03青年,29,307,0
377,02B,05金,01朝,164.22,01男,03青年,35,579,0
378,02B,04木,03夜間,134,01男,02中高生,13,398,0
388,02B,02火,02日中,801.47,01男,05壮年,68,333,0
389,02B,05金,01朝,235.59,01男,04中年,39,599,0
400,02B,02火,02日中,916.65,01男,02中高生,16,243,0
407,02B,05金,03夜間,435,01男,02中高生,13,361,0
411,02B,06土,02日中,1157.07,01男,04中年,46,647,0
427,02B,07日,03夜間,599.82,01男,03青年,20,886,0
428,02B,06土,02日中,229.88,01男,04中年,46,280,0
439,02B,05金,03夜間,531,01男,02中高生,17,323,0
446,02B,07日,03夜間,1338,01男,01小児,12,308,0
448,02B,01月,03夜間,452.79,01男,03青年,25,834,0
450,02B,02火,03夜間,257.56,01男,04中年,38,796,0
498,02B,05金,01朝,614.31,01男,03青年,32,262,0
502,02B,07日,03夜間,337.71,01男,03青年,20,423,0
522,02B,02火,03夜間,667.49,01男,04中年,48,882,0
524,02B,02火,03夜間,348.48,01男,03青年,19,409,0
526,02B,05金,02日中,369.85,01男,03青年,28,241,0
536,02B,01月,01朝,959.1,01男,01小児,7,396,0
540,02B,02火,02日中,765.24,01男,04中年,50,223,0
543,02B,03水,02日中,775.08,01男,01小児,10,452,0
551,02B,03水,03夜間,440.39,01男,04中年,48,508,0
554,02B,04木,01朝,589.23,01男,03青年,22,748,0
559,02B,06土,01朝,692.75,01男,01小児,4,210,0
567,02B,06土,02日中,301.62,01男,05壮年,81,288,0
581,02B,06土,03夜間,751.78,01男,04中年,37,393,0
582,02B,06土,02日中,241.17,01男,02中高生,17,555,0
584,02B,01月,01朝,524.28,01男,04中年,42,290,0
586,02B,07日,02日中,690.06,01男,04中年,55,157,0
599,02B,01月,03夜間,86.19,01男,03青年,29,267,0
602,02B,01月,01朝,595.34,01男,04中年,38,797,0
606,02B,07日,02日中,879.57,01男,02中高生,13,183,0
620,02B,02火,02日中,1625.83,01男,03青年,29,515,0
623,02B,04木,03夜間,932.49,01男,03青年,22,288,0
632,02B,05金,03夜間,481.07,01男,04中年,47,1233,0
642,02B,04木,03夜間,424,01男,02中高生,14,198,0
644,02B,04木,02日中,786.8,01男,01小児,8,724,0
650,02B,07日,03夜間,1020.87,01男,04中年,50,1586,0
657,02B,03水,03夜間,1254,01男,03青年,34,1055,0
659,02B,04木,03夜間,823,01男,02中高生,17,291,0
667,02B,07日,02日中,408.1,01男,02中高生,14,263,0
684,02B,02火,02日中,75.99,01男,03青年,21,518,0
685,02B,02火,03夜間,537.18,01男,04中年,41,1613,0
689,02B,04木,02日中,281.02,01男,02中高生,13,384,0
697,02B,04木,01朝,137.55,01男,03青年,20,716,0
711,02B,02火,01朝,199.64,01男,03青年,20,255,0
